repeat,configuration,policy,threshold,n,tp,fp,tn,fn,precision,recall,fpr,f1,accuracy,auroc,fnr,coverage
5,without_repetition,legacy,0.9115479272268203,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,without_repetition,negative_max,0.022649554186724718,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
5,without_repetition,separating_midpoint,0.46709874070677254,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,original,legacy,0.8889580435373,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,original,negative_max,0.11869556007950474,6,3,2,1,0,0.6,1.0,0.6666666666666666,0.75,0.6666666666666666,1.0,0.0,1.0
6,original,separating_midpoint,0.5038268018084023,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,pilot_selected,legacy,0.5238554850267354,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,pilot_selected,negative_max,0.48871479631592396,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
6,pilot_selected,separating_midpoint,0.5062851406713297,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,length_only,legacy,0.6422481657714536,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
6,length_only,negative_max,0.2096977851925063,6,3,2,1,0,0.6,1.0,0.6666666666666666,0.75,0.6666666666666666,1.0,0.0,1.0
6,length_only,separating_midpoint,0.42597297548197993,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
6,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
6,repetition_only,negative_max,0.6324152655559753,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
6,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
6,without_repetition,legacy,0.8761445875205682,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,without_repetition,negative_max,0.1036531171339851,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
6,without_repetition,separating_midpoint,0.48989885232727665,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,original,legacy,0.8247629819513846,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
7,original,negative_max,0.30169797449547686,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,original,separating_midpoint,0.5632304782234308,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,pilot_selected,legacy,0.5195229455523714,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
7,pilot_selected,negative_max,0.4997896963529836,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
7,pilot_selected,separating_midpoint,0.5096563209526774,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,length_only,legacy,0.6644656278765954,6,2,1,2,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.33333333333333337,1.0
7,length_only,negative_max,0.3226782743932994,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,0.8888888888888888,0.0,1.0
7,length_only,separating_midpoint,0.49357195113494734,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,0.8888888888888888,0.0,1.0
7,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
7,repetition_only,negative_max,0.6711203437256974,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
7,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
7,without_repetition,legacy,0.8119964521745889,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
7,without_repetition,negative_max,0.2979518555098419,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,without_repetition,separating_midpoint,0.5549741538422154,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,original,legacy,0.9459884641807652,6,1,0,3,2,1.0,0.3333333333333333,0.0,0.5,0.6666666666666666,1.0,0.6666666666666667,1.0
8,original,negative_max,0.5708173100277978,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,original,separating_midpoint,0.7584028871042814,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,pilot_selected,legacy,0.5299243108891722,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
8,pilot_selected,negative_max,0.5024490368392791,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,pilot_selected,separating_midpoint,0.5161866738642256,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,length_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.0,1.0,1.0
8,length_only,negative_max,0.6636940344668617,6,0,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
8,length_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.0,1.0,1.0
8,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
8,repetition_only,negative_max,0.5622915396484718,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
8,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
8,without_repetition,legacy,0.9424078184234589,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
8,without_repetition,negative_max,0.5409104984053404,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
8,without_repetition,separating_midpoint,0.7416591584143997,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,original,legacy,0.7681085692540036,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
9,original,negative_max,0.330297208363099,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
9,original,separating_midpoint,0.5492028888085513,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,pilot_selected,legacy,0.5153386266853317,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
9,pilot_selected,negative_max,0.5001750775599587,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,pilot_selected,separating_midpoint,0.5077568521226452,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
9,length_only,legacy,0.8208140094127006,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
9,length_only,negative_max,0.7925665390825165,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
9,length_only,separating_midpoint,0.8208140094127006,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
9,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
9,repetition_only,negative_max,0.6141143531532128,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
9,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
9,without_repetition,legacy,0.7467163254708803,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
9,without_repetition,negative_max,0.34606315924285264,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
9,without_repetition,separating_midpoint,0.5463897423568664,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,original,legacy,0.863473394240963,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,original,negative_max,0.157742524186223,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
10,original,separating_midpoint,0.510607959213593,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,pilot_selected,legacy,0.5190835235791645,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,pilot_selected,negative_max,0.4901060444744558,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
10,pilot_selected,separating_midpoint,0.5045947840268101,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,length_only,legacy,0.5885667767796875,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,length_only,negative_max,0.5815481888654914,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,length_only,separating_midpoint,0.5850574828225894,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
10,repetition_only,negative_max,0.6245423492801594,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
10,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
10,without_repetition,legacy,0.8541582357500351,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
10,without_repetition,negative_max,0.09777365300731168,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
10,without_repetition,separating_midpoint,0.4759659443786734,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
11,original,legacy,0.902882862838669,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
11,original,negative_max,0.5533114306972045,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
11,original,separating_midpoint,0.7280971467679367,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
11,pilot_selected,legacy,0.5238735152480766,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
11,pilot_selected,negative_max,0.5010715508680048,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
11,pilot_selected,separating_midpoint,0.5124725330580406,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
11,length_only,legacy,0.609418358390839,6,1,1,2,2,0.5,0.3333333333333333,0.3333333333333333,0.4,0.5,0.6666666666666666,0.6666666666666667,1.0
11,length_only,negative_max,0.6054602131656375,6,2,1,2,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0
